      0.125E+00      0.271E+03      0.180E+03      0.100E+01      0.125E+03      0.125E+00      0.000E+00
      0.125E+00      0.336E+03      0.170E+03      0.100E+01      0.118E+03      0.125E+00      0.000E+00
      0.125E+00      0.371E+03      0.160E+03      0.100E+01      0.111E+03      0.125E+00      0.000E+00
      0.125E+00      0.411E+03      0.150E+03      0.100E+01      0.104E+03      0.125E+00      0.000E+00
      0.125E+00      0.218E+04      0.140E+03      0.100E+01      0.972E+02      0.125E+00      0.000E+00
      0.125E+00      0.133E+05      0.130E+03      0.100E+01      0.903E+02      0.125E+00      0.000E+00
      0.125E+00      0.167E+06      0.120E+03      0.100E+01      0.833E+02      0.125E+00      0.000E+00
      0.125E+00      0.439E+06      0.110E+03      0.100E+01      0.764E+02      0.125E+00      0.000E+00
      0.125E+00      0.178E+06      0.100E+03      0.100E+01      0.694E+02      0.125E+00      0.000E+00
      0.125E+00      0.129E+06      0.900E+02      0.100E+01      0.625E+02      0.125E+00      0.000E+00
      0.125E+00      0.907E+06      0.800E+02      0.100E+01      0.556E+02      0.125E+00      0.000E+00
      0.125E+00      0.138E+07      0.700E+02      0.100E+01      0.486E+02      0.125E+00      0.000E+00
