 Calculations that do not match the inspection results.
 _______________________________________________________________________________
  # cycles to | as previous, | failure # cycles/ | as previous, |detected cracks
    failure   | period after | applied # cycles  | period after |in subsequent
              |  last insp.  |                   |  last insp.  |inspections
    7.959E+07    1.065E+07         8.569E-01         4.450E-01   1    0
    8.629E+07    1.735E+07         9.291E-01         7.248E-01   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    8.172E+07    1.278E+07         8.798E-01         5.338E-01   1    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    7.440E+07    5.464E+06         8.011E-01         2.282E-01   1    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    8.179E+07    1.285E+07         8.806E-01         5.367E-01   1    0
    9.015E+07    2.121E+07         9.706E-01         8.859E-01   1    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    7.673E+07    7.790E+06         8.261E-01         3.254E-01   1    0
    7.781E+07    8.864E+06         8.377E-01         3.703E-01   0    1
    7.920E+07    1.025E+07         8.527E-01         4.284E-01   0    2
    2.465E+07   -4.429E+07         2.654E-01        -1.850E+00   1    1
    8.111E+07    1.217E+07         8.733E-01         5.085E-01   0    2
    8.905E+07    2.010E+07         9.587E-01         8.398E-01   0    1
    7.988E+07    1.093E+07         8.600E-01         4.567E-01   0    1
    7.982E+07    1.088E+07         8.594E-01         4.544E-01   1    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    7.979E+07    1.085E+07         8.591E-01         4.533E-01   0    1
    7.226E+07    3.319E+06         7.780E-01         1.386E-01   1    1
    8.143E+07    1.249E+07         8.767E-01         5.218E-01   0    1
    4.728E+07   -2.166E+07         5.091E-01        -9.047E-01   0    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    8.740E+07    1.845E+07         9.409E-01         7.709E-01   0    1
    7.489E+07    5.948E+06         8.063E-01         2.484E-01   2    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    5.843E+07   -1.051E+07         6.291E-01        -4.390E-01   0    0
    8.028E+07    1.134E+07         8.643E-01         4.736E-01   3    0
    8.576E+07    1.682E+07         9.233E-01         7.026E-01   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    7.965E+07    1.071E+07         8.575E-01         4.473E-01   1    0
    8.827E+07    1.933E+07         9.504E-01         8.074E-01   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    7.356E+07    4.615E+06         7.919E-01         1.928E-01   0    1
    7.223E+07    3.294E+06         7.777E-01         1.376E-01   1    0
    3.525E+07   -3.370E+07         3.795E-01        -1.407E+00   0    0
    8.181E+07    1.287E+07         8.808E-01         5.377E-01   1    1
